count	title	author	year	lists	key
8	Vanity Fair	William Makepeace Thackeray	1848	bookbub_classics_lifetime,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,penguin_100_classics,worldcat_library100	vanity fair|thackeray
8	The Picture of Dorian Gray	Oscar Wilde	1891	bookbub_classics_lifetime,goodreads_137197_top100,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	picture of dorian gray|wilde
8	To the Lighthouse	Virginia Woolf	1927	bokklubben_world_library,classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,modern_library_prh_novels,penguin_100_classics,time_100_novels	to the lighthouse|woolf
7	The Handmaid's Tale	Margaret Atwood	1985	bookbub_classics_lifetime,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,pbs_great_american_read,penguin_100_classics	handmaids tale|atwood
7	Emma	Jane Austen	1815	bbc_big_read_top100,classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003	emma|austen
7	A Passage to India	EM Forster	1924	bookbub_classics_lifetime,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_english_2015,modern_library_prh_novels,observer_100_greatest_novels_2003,time_100_novels	passage to india|forster
7	Tess of the d'Urbervilles	Thomas Hardy	1891	bbc_big_read_top100,bookbub_classics_lifetime,classic_books_challenge,greatest_books_top200,jeffrich_100_books,penguin_100_classics,worldcat_library100	tess of the durbervilles|hardy
7	The Scarlet Letter	Nathaniel Hawthorne	1850	bookbub_classics_lifetime,classic_books_challenge,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003,worldcat_library100	scarlet letter|hawthorne
7	The Trial	Franz Kafka	1925	bokklubben_world_library,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,le_monde_100_books,observer_100_greatest_novels_2003,worldcat_library100	trial|kafka
7	The Call of the Wild	Jack London	1903	bookbub_classics_lifetime,guardian_100_best_novels_english_2015,modern_library_prh_novels,observer_100_greatest_novels_2003,pbs_great_american_read,penguin_100_classics,worldcat_library100	call of the wild|london
7	Rebecca	Daphne du Maurier	1938	bbc_big_read_top100,bookbub_classics_lifetime,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,pbs_great_american_read,penguin_100_classics	rebecca|maurier
7	Tristram Shandy	Laurence Sterne	1759	bokklubben_world_library,classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,observer_100_greatest_novels_2003	tristram shandy|sterne
7	Dracula	Bram Stoker	1897	bookbub_classics_lifetime,goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,penguin_100_classics,worldcat_library100	dracula|stoker
6	The Hitchhiker's Guide to the Galaxy	Douglas Adams	1979	bbc_big_read_top100,bookbub_classics_lifetime,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,pbs_great_american_read	hitchhikers guide to the galaxy|adams
6	Waiting for Godot	Samuel Beckett	1952/53	classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_nonfiction_2017,jeffrich_100_books,le_monde_100_books	waiting for godot|beckett
6	The Good Soldier	Ford Madox Ford	1915	classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,modern_library_prh_novels,observer_100_greatest_novels_2003	good soldier|ford
6	The Old Man and the Sea	Ernest Hemingway	1952	bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,goodreads_lifetime_100_pdf,greatest_books_top200,worldcat_library100	old man and the sea|hemingway
6	The Sun Also Rises	Ernest Hemingway	1926	classic_books_challenge,greatest_books_top200,guardian_100_best_novels_english_2015,modern_library_prh_novels,pbs_great_american_read,time_100_novels	sun also rises|hemingway
6	The Iliad	Homer	760–710 BCE	bokklubben_world_library,bookbub_classics_lifetime,classic_books_challenge,great_books_western_world,greatest_books_top200,penguin_100_classics	iliad|homer
6	A Portrait of the Artist as a Young Man	James Joyce	1916	classic_books_challenge,great_books_western_world,greatest_books_top200,modern_library_prh_novels,penguin_100_classics,worldcat_library100	portrait of the artist as a young man|joyce
6	The Metamorphosis	Franz Kafka	1915	bookbub_classics_lifetime,classic_books_challenge,great_books_western_world,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books	metamorphosis|kafka
6	Under the Volcano	Malcolm Lowry	1947	classic_books_challenge,greatest_books_top200,guardian_100_best_novels_english_2015,le_monde_100_books,modern_library_prh_novels,time_100_novels	under the volcano|lowry
6	The Magic Mountain	Thomas Mann	1924	bokklubben_world_library,classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,le_monde_100_books	magic mountain|mann
6	Pale Fire	Vladimir Nabokov	1962	classic_books_challenge,greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,modern_library_prh_novels,time_100_novels	pale fire|nabokov
6	The Little Prince	Antoine de Saint-Exupéry	1943	bookbub_classics_lifetime,goodreads_lifetime_100_pdf,greatest_books_top200,le_monde_100_books,pbs_great_american_read,worldcat_library100	little prince|saint-exupery
6	The Prime of Miss Jean Brodie	Muriel Spark	1961	greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,modern_library_prh_novels,observer_100_greatest_novels_2003,time_100_novels	prime of miss jean brodie|spark
6	The Age of Innocence	Edith Wharton	1920	greatest_books_top200,guardian_100_best_novels_2026,guardian_100_best_novels_english_2015,jeffrich_100_books,modern_library_prh_novels,penguin_100_classics	age of innocence|wharton
6	Charlotte's Web	EB White	1952	classic_books_challenge,goodreads_lifetime_100_pdf,greatest_books_top200,observer_100_greatest_novels_2003,pbs_great_american_read,worldcat_library100	charlottes web|white
5	Persuasion	Jane Austen	1817	bbc_big_read_top100,greatest_books_top200,guardian_100_best_novels_2026,penguin_100_classics,worldcat_library100	persuasion|austen
5	The Decameron	Giovanni Boccaccio	1349–53	bokklubben_world_library,classic_books_challenge,greatest_books_top200,jeffrich_100_books,worldcat_library100	decameron|boccaccio
5	Fahrenheit 451	Ray Bradbury		bookbub_classics_lifetime,goodreads_137197_top100,goodreads_lifetime_100_pdf,greatest_books_top200,worldcat_library100	fahrenheit 451|bradbury
5	The Master and Margarita	Mikhail Bulgakov	1966-67	greatest_books_top200,guardian_100_best_novels_2026,jeffrich_100_books,le_monde_100_books,penguin_100_classics	master and margarita|bulgakov
5	A Clockwork Orange	Anthony Burgess	1962	bookbub_classics_lifetime,greatest_books_top200,guardian_100_best_novels_english_2015,modern_library_prh_novels,time_100_novels	clockwork orange|burgess
5	In Cold Blood	Truman Capote	1966	goodreads_lifetime_100_pdf,greatest_books_top200,guardian_100_best_novels_english_2015,modern_library_prh_nonfiction,penguin_100_classics	in cold blood|capote
